longitude,latitude,z_seafloor_datum,z_water_surf,z_gps_datum
-70.637287592,41.348306491,NaN,NaN,0.4752
-70.637287108,41.348306294,NaN,NaN,0.4942
-70.637286739,41.348305791,NaN,NaN,0.5116
-70.637286735,41.34830502,NaN,NaN,0.5047
-70.637286918,41.348304006,NaN,NaN,0.4633
-70.63728719,41.348303026,NaN,NaN,0.4471
-70.637287485,41.348302454,NaN,NaN,0.4607
-70.637287536,41.348302094,NaN,NaN,0.4521
-70.637287353,41.348301739,NaN,NaN,0.426
-70.637287161,41.348301349,NaN,NaN,0.4305
-70.637286928,41.34830114,NaN,NaN,0.4279
-70.637286882,41.348301123,NaN,NaN,0.4111
-70.637286875,41.348301058,NaN,NaN,0.4228
-70.637286915,41.348300967,NaN,NaN,0.4357
-70.637286989,41.348301059,NaN,NaN,0.4091
-70.63728711,41.348301328,NaN,NaN,0.3735
-70.637287163,41.348301402,NaN,NaN,0.3666
-70.637287149,41.348301466,NaN,NaN,0.3695
-70.637287122,41.348301364,NaN,NaN,0.3852
-70.637287062,41.348301215,NaN,NaN,0.4077
-70.637287067,41.348301244,NaN,NaN,0.3939
-70.637287192,41.348301258,NaN,NaN,0.3865
-70.637287193,41.348301171,NaN,NaN,0.409
-70.637287328,41.348301368,NaN,NaN,0.3842
-70.637287359,41.348301469,NaN,NaN,0.3924
-70.637287326,41.348301292,NaN,NaN,0.4361
-70.637287155,41.348301082,NaN,NaN,0.4216
-70.637287058,41.348301054,NaN,NaN,0.4249
-70.637287105,41.348300874,NaN,NaN,0.4324
-70.637287159,41.348300777,NaN,NaN,0.4389
-70.637287494,41.348300896,NaN,NaN,0.477
-70.637287845,41.348301299,NaN,NaN,0.482
-70.637288038,41.348301949,NaN,NaN,0.4584
-70.637287992,41.348302679,NaN,NaN,0.4163
-70.637287678,41.348303454,NaN,NaN,0.4055
-70.637287324,41.348304147,NaN,NaN,0.4417
-70.637287358,41.348304533,NaN,NaN,0.4375
-70.637287701,41.348304668,NaN,NaN,0.4278
-70.637287838,41.348304706,NaN,NaN,0.4408
-70.63728789,41.348304791,NaN,NaN,0.4544
-70.637287897,41.348304977,NaN,NaN,0.4456
-70.637287768,41.348305078,NaN,NaN,0.4436
-70.637287661,41.34830508,NaN,NaN,0.4439
-70.637287553,41.348305105,NaN,NaN,0.4405
-70.637287578,41.348305163,NaN,NaN,0.4348
-70.637287557,41.348305192,NaN,NaN,0.4435
-70.637287547,41.348305265,NaN,NaN,0.4458
-70.637287563,41.348305307,NaN,NaN,0.451
-70.637287589,41.348305355,NaN,NaN,0.4448
-70.637287592,41.348305336,NaN,NaN,0.4433
-70.637287547,41.348305334,NaN,NaN,0.4407
-70.637287466,41.348305336,NaN,NaN,0.4444
-70.637287427,41.348305343,NaN,NaN,0.4421
-70.637287443,41.348305306,NaN,NaN,0.4492
-70.637287469,41.348305269,NaN,NaN,0.447
-70.637287497,41.348305295,NaN,NaN,0.455
-70.637287329,41.348305399,NaN,NaN,0.4508
-70.637287179,41.348305497,NaN,NaN,0.44
-70.637286963,41.348305567,NaN,NaN,0.4329
-70.637286673,41.348305696,NaN,NaN,0.4306
-70.637286387,41.348305866,NaN,NaN,0.4219
-70.63728617,41.348306006,NaN,NaN,0.4244
-70.637286047,41.348306194,NaN,NaN,0.4281
-70.63728595,41.348306209,NaN,NaN,0.4406
-70.637285869,41.348306208,NaN,NaN,0.4461
-70.63728586,41.348306234,NaN,NaN,0.4595
-70.637285791,41.348306202,NaN,NaN,0.4596
-70.637285767,41.348306125,NaN,NaN,0.4303
-70.63728595,41.348306048,NaN,NaN,0.4124
-70.63728607,41.348306105,NaN,NaN,0.4052
-70.637286089,41.348306325,NaN,NaN,0.4253
-70.637286058,41.348306658,NaN,NaN,0.4633
-70.637286292,41.348307081,NaN,NaN,0.4586
-70.63728696,41.348307599,NaN,NaN,0.4698
-70.637287928,41.348308435,NaN,NaN,0.4923
-70.637288523,41.348308985,NaN,NaN,0.5196
-70.637288443,41.348309431,NaN,NaN,0.5403
-70.637287971,41.348309843,NaN,NaN,0.5214
-70.637287455,41.348310219,NaN,NaN,0.5256
-70.63728706,41.348310331,NaN,NaN,0.5428
-70.637287011,41.348310329,NaN,NaN,0.5637
-70.637287142,41.348310257,NaN,NaN,0.5831
-70.637287424,41.348310202,NaN,NaN,0.5892
-70.637288013,41.348310022,NaN,NaN,0.6076
-70.637288914,41.34830993,NaN,NaN,0.5791
-70.637290265,41.348310037,NaN,NaN,0.5468
-70.637291401,41.348309694,NaN,NaN,0.5512
-70.637291675,41.348308886,NaN,NaN,0.54
-70.637291428,41.34830773,NaN,NaN,0.544
-70.637291513,41.348306452,NaN,NaN,0.564
-70.637292286,41.348305244,NaN,NaN,0.5452
-70.637293714,41.348303956,NaN,NaN,0.497
-70.637294818,41.348302461,NaN,NaN,0.4879
-70.6372956,41.348301004,NaN,NaN,0.5159
-70.63729627,41.34829961,NaN,NaN,0.4828
-70.637296767,41.348298318,NaN,NaN,0.3938
-70.637297245,41.348297777,NaN,NaN,0.3537
-70.637297357,41.348298077,NaN,NaN,0.3509
-70.637297705,41.348298598,NaN,NaN,0.3528
-70.637297988,41.348299264,NaN,NaN,0.3693
-70.637297718,41.348299963,NaN,NaN,0.3399
-70.637297254,41.348300034,NaN,NaN,0.3536
-70.637296588,41.348300104,NaN,NaN,0.3461
-70.637296137,41.348300189,NaN,NaN,0.3471
-70.637295943,41.348300375,NaN,NaN,0.3343
-70.637295897,41.348300359,NaN,NaN,0.3317
-70.637295941,41.348300327,NaN,NaN,0.3398
-70.637296034,41.348300292,NaN,NaN,0.3495
-70.63729617,41.348300265,NaN,NaN,0.3356
-70.637296261,41.348300132,NaN,NaN,0.3413
-70.637296306,41.348300039,NaN,NaN,0.3419
-70.637296263,41.348300035,NaN,NaN,0.337
-70.637296079,41.348299938,NaN,NaN,0.3397
-70.637295975,41.348299915,NaN,NaN,0.3255
-70.637295833,41.348299848,NaN,NaN,0.3315
-70.637295729,41.348299691,NaN,NaN,0.3305
-70.637295637,41.348299722,NaN,NaN,0.3043
-70.637295568,41.34829973,NaN,NaN,0.2968
-70.637295496,41.348299574,NaN,NaN,0.3023
-70.637295364,41.348299438,NaN,NaN,0.3141
-70.637295276,41.348299286,NaN,NaN,0.3117
-70.637295163,41.348298928,NaN,NaN,0.3377
-70.637295081,41.348298361,NaN,NaN,0.3822
-70.637295294,41.348297224,NaN,NaN,0.4412
-70.637296049,41.348296125,NaN,NaN,0.4218
-70.63729654,41.348294843,NaN,NaN,0.4103
-70.637296464,41.348293471,NaN,NaN,0.424
-70.637296201,41.348292312,NaN,NaN,0.4053
-70.637296493,41.348291872,NaN,NaN,0.3729
-70.637296986,41.348291976,NaN,NaN,0.3486
-70.637297834,41.348291753,NaN,NaN,0.3625
-70.637298083,41.348290953,NaN,NaN,0.3382
-70.637298175,41.348290405,NaN,NaN,0.324
-70.637298348,41.348290163,NaN,NaN,0.3118
-70.637298331,41.348289758,NaN,NaN,0.2913
-70.63729814,41.34828923,NaN,NaN,0.2622
-70.637297823,41.348288133,NaN,NaN,0.1811
-70.637296965,41.348286661,NaN,NaN,0.0407
-70.637295509,41.348283577,NaN,NaN,-0.1265
-70.637294465,41.348278595,NaN,NaN,-0.1493
-70.637294137,41.348273658,NaN,NaN,-0.2062
-70.637294041,41.34826887,NaN,NaN,-0.2585
-70.637293585,41.348264395,NaN,NaN,-0.2945
-70.63729276,41.348260152,NaN,NaN,-0.291
-70.637292387,41.348255905,NaN,NaN,-0.2834
-70.637292676,41.348251586,NaN,NaN,-0.2837
-70.637292698,41.348247282,NaN,NaN,-0.2841
-70.637292284,41.348242933,NaN,NaN,-0.2966
-70.637292185,41.348238458,NaN,NaN,-0.2998
-70.637292614,41.348233966,NaN,NaN,-0.2574
-70.637293092,41.348229434,NaN,NaN,-0.191
-70.637293384,41.348224817,NaN,NaN,-0.1437
-70.637293474,41.34822018,NaN,NaN,-0.1207
-70.63729365,41.348215491,NaN,NaN,-0.1115
-70.637293957,41.348210706,NaN,NaN,-0.0945
-70.637294115,41.348205866,NaN,NaN,-0.0984
-70.637293799,41.348201129,NaN,NaN,-0.1146
-70.637293166,41.348196477,NaN,NaN,-0.1203
-70.637292361,41.34819191,NaN,NaN,-0.1181
-70.637291374,41.348187436,NaN,NaN,-0.1082
-70.637290343,41.348183071,NaN,NaN,-0.0662
-70.637289193,41.348178913,NaN,NaN,-0.0362
-70.637287698,41.348174879,NaN,NaN,-0.0348
-70.637286269,41.34817101,NaN,NaN,-0.0407
-70.637285096,41.348167126,NaN,NaN,-0.0354
-70.637283889,41.348163338,NaN,NaN,-0.0508
-70.637282437,41.348159698,NaN,NaN,-0.075
-70.637281113,41.348156053,NaN,NaN,-0.1035
-70.637280243,41.348152435,NaN,NaN,-0.1346
-70.63727933,41.348149005,NaN,NaN,-0.145
-70.637278185,41.348145784,NaN,NaN,-0.1309
-70.637277166,41.348142737,NaN,NaN,-0.0884
-70.637276615,41.348139958,NaN,NaN,-0.029
-70.637276265,41.348137421,NaN,NaN,0.037
-70.637275847,41.348135061,NaN,NaN,0.0681
-70.637275689,41.348132729,NaN,NaN,0.0681
-70.637275961,41.348130395,NaN,NaN,0.0421
-70.637276306,41.348128044,NaN,NaN,0.0156
-70.637276554,41.348125648,NaN,NaN,-0.0001
-70.637276746,41.348123081,NaN,NaN,-0.0303
-70.637276799,41.348120327,NaN,NaN,-0.0577
-70.637276932,41.348117357,NaN,NaN,-0.0824
-70.637277114,41.348114138,NaN,NaN,-0.1076
-70.637276963,41.34811078,NaN,NaN,-0.1188
-70.637276622,41.348107211,NaN,NaN,-0.1185
-70.637276747,41.348103403,NaN,NaN,-0.1144
-70.637277108,41.348099392,NaN,NaN,-0.1205
-70.637276905,41.348095267,NaN,NaN,-0.1249
-70.637276455,41.348091091,NaN,NaN,-0.122
-70.637276402,41.348086785,NaN,NaN,-0.1148
-70.637276437,41.348082442,NaN,NaN,-0.1045
-70.637276216,41.348078149,-2.29005831382446,-2.10605831382446,-0.084
-70.637275818,41.348073936,-2.24955408009577,-2.10015408009577,-0.0494
-70.637275605,41.348069725,-2.22364984636708,-2.09424984636708,-0.0294
-70.637275821,41.348065541,-2.24100323444248,-2.10110323444248,-0.0399
-70.637276249,41.348061432,-2.27008508272738,-2.11808508272738,-0.052
-70.637276499,41.348057462,-2.29026693101227,-2.13506693101227,-0.0552
-70.637276844,41.348053719,-2.27104877929716,-2.15204877929716,-0.019
-70.637277486,41.348050141,-2.21803062758205,-2.16903062758205,0.051
-70.63727843,41.348046693,-2.16521247586694,-2.18601247586694,0.1208
-70.637279642,41.348043156,-2.15649432415183,-2.20299432415183,0.1465
-70.637280984,41.348039667,-2.17917617243672,-2.21997617243672,0.1408
-70.637282188,41.348036123,-2.21395802072161,-2.23695802072161,0.123
-70.637283349,41.348032368,-2.27503986900651,-2.25393986900651,0.0789
-70.637284585,41.348028468,-2.31815511810452,-2.25665511810452,0.0385
-70.637285951,41.348024288,-2.33685481087134,-2.23745481087134,0.0006
-70.637287082,41.348019948,-2.36245450363816,-2.21825450363816,-0.0442
-70.637287648,41.348015521,-2.36881288417483,-2.20871288417483,-0.0601
-70.637288228,41.348010967,-2.38726429197686,-2.21486429197686,-0.0724
-70.637288898,41.348006212,-2.40261569977888,-2.22101569977888,-0.0816
-70.637289541,41.348001324,-2.4151671075809,-2.2271671075809,-0.088
-70.637289891,41.347996296,-2.44691851538293,-2.23331851538293,-0.1136
-70.637289813,41.347991123,-2.47516992318495,-2.23946992318495,-0.1357
-70.637289902,41.347985888,NaN,NaN,-0.1298
-70.637290315,41.347980693,NaN,NaN,-0.0903
-70.63729079,41.347975486,NaN,NaN,-0.0489
-70.637291123,41.347970348,NaN,NaN,-0.0176
-70.637291362,41.347965402,NaN,NaN,0.0373
-70.637291898,41.34796066,NaN,NaN,0.12
-70.637292881,41.347955988,NaN,NaN,0.1923
-70.637293461,41.347951332,NaN,NaN,0.2358
-70.637293437,41.34794675,NaN,NaN,0.2669
-70.637293544,41.347942151,NaN,NaN,0.2751
-70.637293846,41.347937357,NaN,NaN,0.2547
-70.637294125,41.347932556,NaN,NaN,0.2255
-70.637294227,41.347927679,NaN,NaN,0.199
-70.637294288,41.347922683,NaN,NaN,0.1379
-70.637294071,41.347917497,NaN,NaN,0.0342
-70.637293731,41.347912115,NaN,NaN,-0.0658
-70.63729343,41.347906521,NaN,NaN,-0.1312
-70.637293031,41.347900697,NaN,NaN,-0.1795
-70.637292327,41.34789477,NaN,NaN,-0.2269
-70.637291662,41.347888723,NaN,NaN,-0.2467
-70.637291277,41.347882648,NaN,NaN,-0.2458
-70.637291145,41.347876533,NaN,NaN,-0.2707
-70.637291077,41.347870405,-2.7479004704084,-2.3516004704084,-0.2963
-70.637290782,41.347864316,-2.74818587209676,-2.34038587209676,-0.3078
-70.637290482,41.347858207,-2.73117127378511,-2.32917127378511,-0.302
-70.637290763,41.347852138,-2.70798529470978,-2.33488529470978,-0.2731
-70.6372914,41.347846035,-2.70168742974448,-2.36968742974448,-0.232
-70.637291883,41.347840009,-2.69868956477918,-2.40448956477918,-0.1942
-70.637292039,41.347834267,-2.68859169981389,-2.43929169981389,-0.1493
-70.637292302,41.347828684,-2.68809383484859,-2.47409383484859,-0.114
-70.637292941,41.347823293,-2.71349596988329,-2.50889596988329,-0.1046
-70.637293737,41.347818035,-2.757198104918,-2.543698104918,-0.1135
-70.637294167,41.347812993,-2.8095002399527,-2.5785002399527,-0.131
-70.637294267,41.347808193,-2.8281023749874,-2.6133023749874,-0.1148
-70.637294916,41.347803597,-2.82060451002211,-2.64810451002211,-0.0725
-70.637295798,41.347799274,-2.81260664505681,-2.68290664505681,-0.0297
-70.637296201,41.347795413,-2.82570878009151,-2.71770878009151,-0.008
-70.63729645,41.347792022,-2.83671091512622,-2.75251091512622,0.0158
-70.637297003,41.34778914,-2.81311308015981,-2.77041308015981,0.0573
-70.637297481,41.347786722,-2.76362569173201,-2.78162569173201,0.118
-70.63729792,41.347784732,-2.71143830330422,-2.79283830330422,0.1814
-70.637298408,41.347782993,-2.67678246126799,-2.79368246126799,0.2169
-70.637298573,41.347781423,-2.65586735856692,-2.77096735856692,0.2151
-70.637298605,41.347779872,-2.65865225586586,-2.74825225586586,0.1896
-70.637298707,41.347778233,-2.6843371531648,-2.7255371531648,0.1412
-70.637298768,41.347776503,-2.72272205046373,-2.70282205046373,0.0801
-70.637298617,41.347774592,-2.75750694776267,-2.68010694776267,0.0226
-70.637298253,41.347772475,-2.7918918450616,-2.6573918450616,-0.0345
-70.637297942,41.347770218,-2.79333678011305,-2.60183678011305,-0.0915
-70.63729781,41.347767761,-2.82564880223416,-2.58844880223416,-0.1372
-70.637297526,41.347765191,-2.84866082435528,-2.57506082435528,-0.1736
-70.637296909,41.347762628,-2.85905948392651,-2.57115948392651,-0.1879
-70.637296332,41.34776015,-2.85775948392651,-2.57115948392651,-0.1866
-70.637296045,41.347757606,-2.86075948392651,-2.57115948392651,-0.1896
-70.637295741,41.347755182,-2.87585948392651,-2.57115948392651,-0.2047
-70.637295228,41.347753023,-2.89565948392651,-2.57115948392651,-0.2245
-70.637294523,41.347750993,-2.91105948392651,-2.57115948392651,-0.2399
-70.63729401,41.347748943,-2.91605948392651,-2.57115948392651,-0.2449
-70.637293619,41.347746889,-2.91296407654985,-2.57596407654985,-0.237
-70.637293117,41.347744916,-2.90115827625798,-2.58155827625798,-0.2196
-70.637292401,41.347743171,-2.8916524759661,-2.5871524759661,-0.2045
-70.637291557,41.347741556,-2.88867797080496,-2.59587797080496,-0.1928
-70.637290894,41.347739993,-2.89109924988047,-2.60739924988047,-0.1837
-70.637290574,41.347738369,-2.86712052895598,-2.61892052895598,-0.1482
-70.637290029,41.347736973,-2.8437736170129,-2.6330736170129,-0.1107
-70.637289116,41.347735945,-2.83109521704671,-2.65719521704671,-0.0739
-70.637288445,41.347734884,-2.82921681708052,-2.68131681708052,-0.0479
-70.63728819,41.3477335,-2.84423841711432,-2.70543841711432,-0.0388
-70.637287867,41.347732072,-2.87466001714813,-2.72956001714813,-0.0451
-70.637287201,41.347730903,-2.90828161718193,-2.75368161718193,-0.0546
-70.637286433,41.347729758,-2.94090321721574,-2.77780321721574,-0.0631
-70.637286087,41.34772826,-2.96582481724954,-2.80192481724954,-0.0639
-70.637285905,41.347726621,-3.00104641728335,-2.82604641728335,-0.075
-70.637285458,41.34772542,-3.04786801731715,-2.85016801731715,-0.0977
-70.637284647,41.347724741,-3.10008961735096,-2.87428961735096,-0.1258
-70.637284047,41.347724013,-3.12021121738477,-2.89841121738477,-0.1218
-70.637283929,41.347722797,-3.08213281741857,-2.92253281741857,-0.0596
-70.637283803,41.347721554,-3.0556635923356,-2.9600635923356,0.0044
-70.637283483,41.347720861,-3.03776523204277,-3.01186523204277,0.0741
-70.637283321,41.347720559,-3.03876687174993,-3.06366687174993,0.1249
-70.637283262,41.347719893,-3.03598911926786,-3.10278911926786,0.1668
-70.63728332,41.347719029,-2.97941796491626,-3.08071796491626,0.2013
-70.637283208,41.347718525,-2.93924681056466,-3.05864681056466,0.2194
-70.63728293,41.347718421,-2.90787565621305,-3.03657565621305,0.2287
-70.637282667,41.347718215,-2.9028639397668,-3.0213639397668,0.2185
-70.637282467,41.347717813,-2.9175072283803,-3.0090072283803,0.1915
-70.637282278,41.347717212,-2.9288505169938,-2.9966505169938,0.1678
-70.637282178,41.347716533,-2.9407938056073,-2.9842938056073,0.1435
-70.637281989,41.347716104,-2.9671370942208,-2.9719370942208,0.1048
-70.637281653,41.347715758,-2.9852803828343,-2.9595803828343,0.0743
-70.637281375,41.347715031,-2.991315170651,-2.939115170651,0.0478
-70.637281208,41.347713721,-2.97094701630897,-2.91104701630897,0.0401
-70.637281074,41.34771244,-2.95137886196694,-2.88297886196694,0.0316
-70.637280924,41.347711719,-2.9506107076249,-2.8549107076249,0.0043
-70.637280604,41.347711435,-2.98144255328287,-2.82684255328287,-0.0546
-70.63728033,41.34771077,-2.99697439894084,-2.79877439894084,-0.0982
-70.637280112,41.347709674,-2.97160624459881,-2.77070624459881,-0.1009
-70.637279796,41.347709072,-2.96921073509455,-2.77411073509455,-0.0951
-70.637279492,41.34770918,-2.95538860492337,-2.79078860492337,-0.0646
-70.637279411,41.347709092,-2.96366647475218,-2.80746647475218,-0.0562
-70.637279422,41.347708426,-2.97531315953307,-2.81341315953307,-0.0619
-70.63727931,41.347707727,-2.9695783934178,-2.7934783934178,-0.0761
-70.637279039,41.347707392,-2.95914362730252,-2.77354362730252,-0.0856
-70.637278709,41.347706987,-2.93937603918891,-2.76547603918891,-0.0739
-70.637278334,41.347706234,-2.95321213216835,-2.77251213216835,-0.0807
-70.637278065,41.347705646,-2.98704822514779,-2.77954822514779,-0.1075
-70.637277902,41.34770541,-3.02012759737369,-2.78702759737369,-0.1331
-70.637277714,41.347705,-3.04402340483282,-2.79462340483282,-0.1494
-70.637277519,41.347704148,-3.04621921229194,-2.80221921229194,-0.144
-70.63727725,41.347703399,-3.04391501975107,-2.80981501975107,-0.1341
-70.637276941,41.347703265,-3.0449108272102,-2.8174108272102,-0.1275
-70.637276654,41.347703098,-3.05180663466932,-2.82500663466932,-0.1268
-70.637276392,41.347702379,-3.04600244212845,-2.83260244212845,-0.1134
-70.637276124,41.347701361,-3.04389824958758,-2.84019824958758,-0.1037
-70.637275819,41.347700673,-3.0331940570467,-2.8477940570467,-0.0854
-70.637275621,41.347700393,-3.03398986450583,-2.85538986450583,-0.0786
-70.637275458,41.3477,-3.04510018603228,-2.85750018603228,-0.0876
-70.637275231,41.347699136,-3.03300018603228,-2.85750018603228,-0.0755
-70.637275049,41.347698044,-3.01880018603228,-2.85750018603228,-0.0613
-70.637275071,41.347697229,-3.0080217762186,-2.8533217762186,-0.0547
-70.637275298,41.347696802,-3.00119869260326,-2.83999869260326,-0.0612
-70.637275535,41.347696349,-3.00087560898793,-2.82667560898793,-0.0742
-70.63727578,41.347695432,-2.98995252537259,-2.81335252537259,-0.0766
-70.637275913,41.347694106,-2.96722944175726,-2.80002944175726,-0.0672
-70.63727608,41.347693056,-2.95260635814193,-2.78670635814193,-0.0659
-70.637276285,41.347692395,-2.94818327452659,-2.77338327452659,-0.0748
-70.637276546,41.347691846,-2.96836019091126,-2.76006019091126,-0.1083
-70.63727668,41.347690957,-2.98853710729593,-2.74673710729593,-0.1418
-70.637276623,41.347689715,-2.99934806551843,-2.73884806551843,-0.1605
-70.637276529,41.347688643,-3.01006499354128,-2.73326499354128,-0.1768
-70.637276473,41.34768798,-3.01018192156413,-2.72768192156413,-0.1825
-70.63727648,41.347687267,-3.00933602340767,-2.72413602340767,-0.1852
-70.637276367,41.347686076,-3.01223602340767,-2.72413602340767,-0.1881
-70.637276166,41.347684737,-3.01143602340767,-2.72413602340767,-0.1873
-70.637275997,41.347683744,-2.99573602340767,-2.72413602340767,-0.1716
-70.637275913,41.347683003,-3.01643695099769,-2.77083695099769,-0.1456
-70.637275832,41.347682055,-3.0395466644729,-2.8199466644729,-0.1196
-70.637275728,41.347681093,-3.08115637794811,-2.86905637794811,-0.1121
-70.637275653,41.347680403,-3.12116609142332,-2.91816609142332,-0.103
-70.637275618,41.347679928,-3.15977580489853,-2.96727580489853,-0.0925
-70.637275636,41.347679486,-3.17248551837374,-3.01638551837374,-0.0561
-70.637275591,41.347679012,-3.16069523184895,-3.06549523184895,0.0048
-70.637275612,41.347678638,-3.14080494532416,-3.11460494532416,0.0738
-70.637275788,41.347678413,-3.10219950428821,-3.14039950428821,0.1382
-70.637276184,41.347678364,-3.05200521856448,-3.12890521856448,0.1769
-70.637276669,41.347678309,-3.01331093284075,-3.11741093284075,0.2041
-70.637277154,41.347678361,-3.00489127049614,-3.10539127049614,0.2005
-70.637277601,41.347678542,-2.99105728360819,-3.08475728360819,0.1937
-70.637278009,41.347678915,-2.98632329672024,-3.06412329672024,0.1778
-70.63727833,41.347679054,-2.96178930983229,-3.04348930983229,0.1817
-70.637278562,41.347678977,-2.94975532294434,-3.02285532294434,0.1731
-70.637278531,41.347679002,-2.94092133605639,-3.00222133605639,0.1613
-70.637278063,41.3476792,-2.95008734916844,-2.98158734916844,0.1315
-70.637277093,41.347679464,-2.97125336228049,-2.96095336228049,0.0897
-70.637275702,41.347679669,-2.97301937539254,-2.94031937539254,0.0673
-70.637273601,41.34767968,-2.95008538850459,-2.91968538850459,0.0696
-70.637270743,41.347679865,-2.95495140161664,-2.89905140161664,0.0441
-70.63726768,41.347680498,-3.00994688173068,-2.91714688173068,0.0072
-70.637264478,41.347681539,-3.07426397894978,-2.94016397894978,-0.0341
-70.637260896,41.347682687,-3.13758107616888,-2.96318107616888,-0.0744
-70.637256955,41.34768378,-3.161735640581,-2.950035640581,-0.1117
